time_diff_hours,forecast Δt (hours),"average abs(Δ(minimum temp.)), degrees C"
125,125,1.25
123,123,1.3103448275862069
121,121,1.4814814814814814
119,119,1.3103448275862069
117,117,1.1481481481481481
115,115,1.5
113,113,1.2142857142857142
111,111,1.0689655172413792
109,109,1.12
107,107,1.206896551724138
105,105,1.0357142857142858
103,103,1.1428571428571428
101,101,0.8461538461538461
99,99,1.103448275862069
97,97,1.1481481481481481
95,95,0.896551724137931
93,93,0.7692307692307693
91,91,1.1785714285714286
89,89,0.9285714285714286
87,87,0.7586206896551724
85,85,0.9583333333333334
83,83,0.9310344827586207
81,81,0.9285714285714286
79,79,0.9285714285714286
77,77,0.92
75,75,0.9310344827586207
73,73,1.1111111111111112
71,71,0.7931034482758621
69,69,0.64
67,67,1
65,65,0.75
63,63,0.7931034482758621
61,61,0.782608695652174
59,59,0.7586206896551724
57,57,0.7142857142857143
55,55,0.75
53,53,0.5833333333333334
51,51,0.6551724137931034
49,49,0.7777777777777778
47,47,0.6551724137931034
45,45,0.4583333333333333
43,43,0.7142857142857143
41,41,0.6071428571428571
39,39,0.5172413793103449
37,37,0.5
35,35,0.5862068965517241
33,33,0.4642857142857143
31,31,0.4642857142857143
29,29,0.391304347826087
27,27,0.4482758620689655
25,25,0.5185185185185185
23,23,0.3793103448275862
21,21,0.30434782608695654
19,19,0.35714285714285715
17,17,0.35714285714285715
15,15,0.2413793103448276
13,13,0.047619047619047616
11,11,0.3103448275862069
9,9,0.20689655172413793
7,7,0.13793103448275862
5,5,0.22727272727272727
3,3,0
1,1,0
-1,-1,0
-3,-3,0