time_diff_hours,forecast Δt (hours),"average abs(Δ(wind speed)), km/h"
125,125,4.285714285714286
123,123,5.517241379310345
121,121,3.888888888888889
119,119,3.9655172413793105
117,117,5.37037037037037
115,115,4.642857142857143
113,113,4.464285714285714
111,111,4.827586206896552
109,109,4.4
107,107,3.9655172413793105
105,105,5
103,103,4.821428571428571
101,101,4.8076923076923075
99,99,6.0344827586206895
97,97,4.62962962962963
95,95,3.2758620689655173
93,93,5.576923076923077
91,91,4.464285714285714
89,89,4.821428571428571
87,87,5.517241379310345
85,85,3.75
83,83,3.2758620689655173
81,81,4.464285714285714
79,79,3.75
77,77,3.8
75,75,5.172413793103448
73,73,3.7037037037037037
71,71,2.9310344827586206
69,69,4.8
67,67,2.857142857142857
65,65,3.9285714285714284
63,63,4.482758620689655
61,61,3.260869565217391
59,59,3.793103448275862
57,57,3.9285714285714284
55,55,3.392857142857143
53,53,2.5
51,51,3.2758620689655173
49,49,3.1481481481481484
47,47,2.413793103448276
45,45,2.9166666666666665
43,43,2.3214285714285716
41,41,2.3214285714285716
39,39,2.7586206896551726
37,37,2.5
35,35,2.2413793103448274
33,33,3.392857142857143
31,31,2.5
29,29,1.9565217391304348
27,27,2.586206896551724
25,25,3.1481481481481484
23,23,2.0689655172413794
21,21,2.391304347826087
19,19,1.4285714285714286
17,17,2.857142857142857
15,15,2.586206896551724
13,13,2.619047619047619
11,11,1.5517241379310345
9,9,1.7241379310344827
7,7,1.0344827586206897
5,5,0.9090909090909091
3,3,0
1,1,0
-1,-1,0
-3,-3,0