time_diff_hours,forecast Δt (hours),"average Δ(chill), degrees C"
125,125,2.0714285714285716
123,123,1.0344827586206897
121,121,0.48148148148148145
119,119,2.1724137931034484
117,117,1.5185185185185186
115,115,0.6071428571428571
113,113,1.4642857142857142
111,111,0.7931034482758621
109,109,0.12
107,107,1.3793103448275863
105,105,0.7142857142857143
103,103,0.21428571428571427
101,101,1
99,99,0.4482758620689655
97,97,0.25925925925925924
95,95,1.4137931034482758
93,93,0.23076923076923078
91,91,-0.25
89,89,1.2142857142857142
87,87,0.3448275862068966
85,85,-0.20833333333333334
83,83,0.896551724137931
81,81,0.35714285714285715
79,79,0.03571428571428571
77,77,1.04
75,75,0.3103448275862069
73,73,-0.14814814814814814
71,71,0.9655172413793104
69,69,0.76
67,67,0.39285714285714285
65,65,1.1071428571428572
63,63,0.10344827586206896
61,61,0.6956521739130435
59,59,1.0344827586206897
57,57,0.2857142857142857
55,55,0.10714285714285714
53,53,0.75
51,51,0.5517241379310345
49,49,0.3333333333333333
47,47,0.5862068965517241
45,45,0.5833333333333334
43,43,-0.21428571428571427
41,41,0.8928571428571429
39,39,0.4482758620689655
37,37,-0.13636363636363635
35,35,0.8620689655172413
33,33,0.5714285714285714
31,31,0.10714285714285714
29,29,0.43478260869565216
27,27,0.7241379310344828
25,25,-0.037037037037037035
23,23,0.4827586206896552
21,21,0.6956521739130435
19,19,0.14285714285714285
17,17,0.5357142857142857
15,15,0.3448275862068966
13,13,0.23809523809523808
11,11,0.5172413793103449
9,9,0.4482758620689655
7,7,-0.41379310344827586
5,5,0.22727272727272727
3,3,0
1,1,0
-1,-1,0
-3,-3,0