time_diff_hours,forecast Δt (hours),"average Δ(wind speed), km/h"
125,125,-1.4285714285714286
123,123,-0.6896551724137931
121,121,2.4074074074074074
119,119,-0.8620689655172413
117,117,-0.9259259259259259
115,115,1.7857142857142858
113,113,-0.8928571428571429
111,111,-0.6896551724137931
109,109,3.2
107,107,-0.8620689655172413
105,105,0.35714285714285715
103,103,1.9642857142857142
101,101,0.19230769230769232
99,99,1.5517241379310345
97,97,2.7777777777777777
95,95,-0.1724137931034483
93,93,0.5769230769230769
91,91,2.3214285714285716
89,89,0.17857142857142858
87,87,1.0344827586206897
85,85,2.0833333333333335
83,83,0.1724137931034483
81,81,0.8928571428571429
79,79,3.0357142857142856
77,77,0.2
75,75,0.3448275862068966
73,73,2.2222222222222223
71,71,-0.1724137931034483
69,69,-0.4
67,67,2.5
65,65,-0.7142857142857143
63,63,1.0344827586206897
61,61,1.9565217391304348
59,59,0.3448275862068966
57,57,0.7142857142857143
55,55,1.9642857142857142
53,53,-0.4166666666666667
51,51,0.1724137931034483
49,49,2.4074074074074074
47,47,0.3448275862068966
45,45,-0.8333333333333334
43,43,2.3214285714285716
41,41,-1.6071428571428572
39,39,0
37,37,1.1363636363636365
35,35,-1.206896551724138
33,33,-0.17857142857142858
31,31,1.0714285714285714
29,29,-0.21739130434782608
27,27,-0.5172413793103449
25,25,1.2962962962962963
23,23,-0.6896551724137931
21,21,-0.6521739130434783
19,19,0.7142857142857143
17,17,-2.142857142857143
15,15,-0.1724137931034483
13,13,0.23809523809523808
11,11,-0.8620689655172413
9,9,-1.0344827586206897
7,7,0
5,5,0
3,3,0
1,1,0
-1,-1,0
-3,-3,0