mtn_name,timeanddate_url_end,time_zone,UTC_diff
mount_everest,@1283416,Asia/Kathmandu,+5:45
k2,@1114951,Asia/Karachi,+5:00
kangchenjunga,@1283259,Asia/Kathmandu,+5:45
lhotse,@1283128,Asia/Kathmandu,+5:45
makalu,@1283087,Asia/Kathmandu,+5:45
cho_oyu,@7996790,Asia/Kathmandu,+5:45
dhaulagiri,@1283457,Asia/Kathmandu,+5:45
manaslu,@1283075,Asia/Kathmandu,+5:45
nanga_parbat,@1169384,Asia/Karachi,+5:00
annapurna,@6941597,Asia/Kathmandu,+5:45
gasherbrum,@1114993,Asia/Karachi,+5:00
broad_peak,@7302330,Asia/Karachi,+5:00
gasherbrum_ii,@1114992,Asia/Karachi,+5:00
shisha_pangma,@1279688,Asia/Kashgar,+6:00
chimborazo,@3659238,America/Lima,-5:00
aconcagua,@3866949,America/Argentina/La_Rioja,-3:00
mount-kenya,@191421,Africa/Nairobi,+3:00
mount_mckinley,@5868589,America/Anchorage,-9:00
mont_blanc,@3181986,Europe/Paris,+1:00
vinson_massif,@6630324,Etc/GMT-13,+13:00
mount_washington_2,@5094284,US/Eastern,-5:00
flattop,usa/anchorage,America/Anchorage,-9:00
mount_whitney,@5409018,America/Los_Angeles,-8:00
mount_mitchell,@4479845,US/Eastern,-5:00